자치구,대여소명,기준년월,대여건수,반납건수
구로구,1967. 참새공원(백곡경노당),202501,269,262
종로구,307. 서울역사박물관 앞,202501,508,487
구로구,1969. 궁동생태공원,202501,37,37
구로구,1971. 오정초교 앞 보도육교,202501,79,46
구로구,1973. 오리로와 서해안도로 교차로 앞,202501,252,169
구로구,1974. 신도림2차e편한세상아파트 203동 앞,202501,598,559
구로구,1975. 대림역 1번 출입구 밑,202501,990,968
구로구,1976. 남구로역 5번 출입구 앞,202501,412,261
구로구,1977. 천왕역 1번 출입구 앞,202501,1010,679
종로구,308. 광화문 S타워 앞,202501,1656,1658
구로구,1979. 구로1동우체국 앞,202501,132,132
구로구,1981. 천왕지구삼거리 앞,202501,319,445
강남구,2380. 봉은사로68길 북측,202501,241,220
강남구,2381. 언주역 3번출구앞,202501,238,243
강남구,2382. 역삼동 sk뷰 501동앞,202501,267,267
강남구,2383. 보금자리정원,202501,140,188
강서구,1158. 가양역 8번출구,202501,2220,2247
종로구,309. 광화문역 6번출구 옆 B,202501,357,255
강서구,1159. 서서울모터리움 앞,202501,385,380
강서구,1160. 양천향교역 7번출구앞,202501,2840,2867
강서구,1161. 강서면허시험장 앞,202501,277,174
강서구,1162. 공항초등학교건너편,202501,2102,1919
강서구,1163. 방화동강서기동대앞,202501,1561,1541
관악구,2164. 관악우체국,202501,478,475
중구,310. 청계광장 옆,202501,532,532
관악구,2165. JK장평타워,202501,144,93
관악구,2167. 낙성대역 1번출구,202501,155,152
광진구,3518. 군자역 7번출구뒤,202501,2292,2312
관악구,2169. 봉천역 2번출구,202501,596,605
관악구,2170. 조원동 강남힐병원,202501,411,364
광진구,3517. 용마사거리,202501,885,992
관악구,2172. 나들목공원,202501,242,204
관악구,2173. 당곡사거리,202501,1178,1171
관악구,2174. 삼성디지털프라자관악점,202501,299,285
관악구,2175. 신림동걷고싶은문화의거리입구,202501,540,532
광진구,3516. 구의아리수정수센터앞,202501,527,466
구로구,1983. 구로동롯데아파트,202501,491,466
구로구,1985. 구로도서관,202501,2118,1992
금천구,1849. 대륭포스트타워5차,202501,251,320
금천구,1850. 코오롱테크노밸리,202501,191,203
노원구,1661. 당현천근린공원,202501,925,864
노원구,1662. 노원역7번출구,202501,1498,1625
노원구,1663. 동해문화예술관앞,202501,1086,1064
노원구,1664. 노해근린공원내,202501,277,261
노원구,1665. 양지근린공원앞,202501,783,585
노원구,1666. 노원소방서인근,202501,442,356
노원구,1667. 중계중학교,202501,993,852
노원구,1668. 중계역 6번출구,202501,1581,1859
노원구,1669. 중계역 3번출구,202501,1248,1241
노원구,1670. 노원경찰서교차로,202501,644,641
노원구,1671. 인덕대학교,202501,332,338
노원구,1672. 상계동수락리버시티,202501,233,216
노원구,1674. 서울북부고용센터앞,202501,1546,1543
도봉구,1722. 창동청소년수련관,202501,518,490
도봉구,1723. 방학동학마을도서관,202501,209,208
도봉구,1725. 창1동주민센터,202501,234,234
도봉구,1726. 삼익세라믹아파트교차로,202501,504,496
도봉구,1727. 서울도봉초등학교인근,202501,258,200
종로구,314. 국립현대미술관,202501,492,495
동대문구,648. 장안동위더스빌옆,202501,1643,1621
동대문구,650. 중랑교사거리,202501,505,461
서초구,2279. 교대역 5번출구뒤,202501,575,652
서초구,2280. 서울서초고용센터앞,202501,285,246
서초구,2281. 연세사랑병원신관앞,202501,140,143
서초구,2283. 그룹한빌딩옆,202501,140,39
서초구,2284. CJ오쇼핑앞,202501,107,53
서초구,2285. LH서초3단지 301동 맞은편,202501,96,91
서초구,2286. 탑성마을입구,202501,9,2
서초구,2287. 능안마을입구,202501,18,16
서초구,2288. 안골마을입구,202501,12,13
서초구,2289. 남태령역 2번출구,202501,62,33
성북구,1354. 고려대학교 2번출구,202501,713,744
종로구,316. 종각역 1번출구 앞,202501,1029,1021
영등포구,275. 신동아아파트,202501,1656,1620
영등포구,276. 영등포로터리2,202501,557,561
영등포구,278. 쌍용플레티넘오피스텔,202501,1314,1175
용산구,827. 국군복지단,202501,163,107
용산구,828. 숙대입구역 8번,202501,412,476
용산구,829. 한강대교 북단 교차로,202501,653,591
용산구,830. 강변삼성스위트아파트 앞,202501,171,160
은평구,954. 은평뉴타운구파발9단지,202501,246,288
은평구,956. 응암시장교차로,202501,1174,1370
중랑구,1449. 상봉역 1번출구,202501,1184,1200
중랑구,1450. 화랑대역 7번출구,202501,657,699
중랑구,1451. 중랑세무서,202501,1022,1054
중랑구,1452. 겸재교 진입부,202501,1011,1145
관악구,2171. 서울대입구역 5번출구,202501,486,491
강서구,1165. 마곡중학교 후문,202501,957,641
용산구,832. 이촌1동 주민센터 뒤,202501,345,382
중구,318. 광교사거리 남측,202501,542,588
용산구,834. 효창공원앞역 3번출구 뒤,202501,714,719
용산구,836. 현대자동차서비스 앞,202501,224,204
용산구,837. 한남나들목 입구,202501,428,474
중랑구,1453. 중랑캠핑숲,202501,47,47
중랑구,1454. 한국전력공사(동대문 중랑지사),202501,453,482
노원구,1675. 월계문화체육센터,202501,148,129
노원구,1677. 육군사관학교  앞,202501,476,502
양천구,749. 이대목동병원보도육교,202501,704,754
강서구,1166. 강서구립등빛도서관,202501,2809,2804
강서구,1167. 마곡수명산파크3단지 교차로,202501,2692,2532
영등포구,279. 영등포 푸르지오 아파트 B,202501,1261,1054
동작구,2064. 흑석한강푸르지오 106동앞,202501,22,15
